Tool,Affected Version,API,Anomaly,Advisory Link
Orion,TORCH_1.12.0,torch.lt,Segfault,https://github.com/pytorch/pytorch/issues/92830
Orion,TORCH_1.12.0,torch.igamma,Segfault,https://github.com/pytorch/pytorch/issues/92828
Orion,TORCH_1.12.0,torch.nn.functional.conv_transpose1d,Floating point exception,https://github.com/pytorch/pytorch/issues/91587
Orion,TORCH_1.12.0,torch.nn.functional.conv2d,Floating point exception,https://github.com/pytorch/pytorch/issues/91558
Orion,TORCH_1.12.0,torch.logical_xor,Segfault,https://github.com/pytorch/pytorch/issues/92827
Orion,TORCH_1.12.0,torch.nn.functional.conv3d,Floating point exception,https://github.com/pytorch/pytorch/issues/91592
Orion,TORCH_1.12.0,torch.linalg.ldl_solve,Crash,https://github.com/pytorch/pytorch/issues/92825
Orion,TORCH_1.12.0,torch.linalg.inv,Segfault,https://github.com/pytorch/pytorch/issues/92819
Orion,TORCH_1.12.0,torch.atan2,Segfault,https://github.com/pytorch/pytorch/issues/92818
Orion,TORCH_1.12.0,torch.gt,Segfault,https://github.com/pytorch/pytorch/issues/92800
Orion,TORCH_1.12.0,torch.eq,Segfault,https://github.com/pytorch/pytorch/issues/92799
Orion,TORCH_1.12.0,torch.nn.functional.pixel_shuffle,Floating point exception,https://github.com/pytorch/pytorch/issues/92798
Orion,TORCH_1.12.0,torch.div,Segfault,https://github.com/pytorch/pytorch/issues/92797
Orion,TORCH_1.12.0,torch.nn.functional.conv1d,Floating point exception,https://github.com/pytorch/pytorch/issues/91594
Orion,TORCH_1.12.0,torch.nn.functional.adaptive_max_pool3d,Floating point exception,https://github.com/pytorch/pytorch/issues/92796
Orion,TORCH_1.12.0,torch.nn.functional.pixel_unshuffle,Floating point exception,https://github.com/pytorch/pytorch/issues/92795
Orion,TORCH_1.12.0,torch.ge,Segfault,https://github.com/pytorch/pytorch/issues/92794
Orion,TORCH_1.12.0,torch.lu_unpack,Segfault,https://github.com/pytorch/pytorch/issues/92793
Orion,TORCH_1.12.0,torch.nn.functional.conv_transpose2d,Floating point exception,https://github.com/pytorch/pytorch/issues/92792
Orion,TORCH_1.12.0,torch.nn.functional.conv_transpose3d,Floating point exception,https://github.com/pytorch/pytorch/issues/92791
Orion,TORCH_1.12.0,torch.Tensor.is_coalesced,Custom error,https://github.com/pytorch/pytorch/issues/92790
Orion,TORCH_1.12.0,torch.Tensor.indices,Custom error,https://github.com/pytorch/pytorch/issues/92789
Orion,TORCH_1.12.0,torch.nn.functional.conv_transpose3d,Floating point exception,https://github.com/pytorch/pytorch/issues/91550
Orion,TORCH_1.12.0,torch.nn.functional.conv_transpose2d,Floating point exception,https://github.com/pytorch/pytorch/issues/91549
Orion,TORCH_1.12.0,torch.nn.AdaptiveMaxPool2d,Overflow,https://github.com/pytorch/pytorch/issues/91552
Orion,TORCH_1.12.0,torch.nn.AdaptiveMaxPool2d,Segfault,https://github.com/pytorch/pytorch/issues/91553
Orion,TORCH_1.12.0,torch.nn.functional.max_unpool3d,Crash,https://github.com/pytorch/pytorch/issues/91555
Orion,TORCH_1.12.0,torch.nn.AdaptiveMaxPool3d,Overflow,https://github.com/pytorch/pytorch/issues/91556
Orion,TORCH_1.12.0,torch.nn.functional.conv2d,Floating point exception,https://github.com/pytorch/pytorch/issues/91558
Orion,TORCH_1.12.0,torch.nn.LayerNorm,OOM error,https://github.com/pytorch/pytorch/issues/91583
Orion,TORCH_1.12.0,torch.tensor_split,OOM error,https://github.com/pytorch/pytorch/issues/91584
Orion,TORCH_1.12.0,torch.lu_solve,Segfault,https://github.com/pytorch/pytorch/issues/91585
Orion,TORCH_1.12.0,torch.lu_solve,Double free,https://github.com/pytorch/pytorch/issues/91586
Orion,TORCH_1.12.0,torch.Tensor.repeat_interleave,OOM error,https://github.com/pytorch/pytorch/issues/91791
Orion,TORCH_1.12.0,torch.nn.BatchNorm3d,OOM error,https://github.com/pytorch/pytorch/issues/91793
Orion,TORCH_1.12.0,torch.nn.functional.pixel_unshuffle,Floating point exception,https://github.com/pytorch/pytorch/issues/91595
Orion,TORCH_1.12.0,torch.nn.functional.conv1d,Floating point exception,https://github.com/pytorch/pytorch/issues/91594
Orion,TORCH_1.12.0,torch.nn.functional.lp_pool1d,Division by Zero,https://github.com/pytorch/pytorch/issues/91593
Orion,TORCH_1.12.0,torch.linalg.ldl_solve,Double free,https://github.com/pytorch/pytorch/issues/91590
Orion,TORCH_1.12.0,torch.linalg.ldl_solve,Segfault,https://github.com/pytorch/pytorch/issues/91591
Orion,TORCH_1.12.0,torch.nn.functional.conv3d,Floating point exception,https://github.com/pytorch/pytorch/issues/91592
Orion,TORCH_1.12.0,torch.tensordot,Crash,https://github.com/pytorch/pytorch/issues/91589
Orion,TORCH_1.12.0,torch.combinations,Bad allocation,https://github.com/pytorch/pytorch/issues/91588
Orion,TORCH_1.12.0,torch.nn.functional.conv_transpose1d,Floating point exception,https://github.com/pytorch/pytorch/issues/91587
Orion,TORCH_1.13.1,torch.linalg.ldl_solve,Segfault,https://github.com/pytorch/pytorch/issues/91611
Orion,TORCH_1.13.1,torch.nn.functional.fractional_max_pool3d,Segfault,https://github.com/pytorch/pytorch/issues/91633
Orion,TORCH_1.13.1,torch.nn.AdaptiveMaxPool3d,Overflow,https://github.com/pytorch/pytorch/issues/91556
Orion,TORCH_1.13.1,torch.nn.functional.fractional_max_pool2d,Segfault,https://github.com/pytorch/pytorch/issues/91659
Orion,TORCH_1.13.1,torch.tensordot,Crash,https://github.com/pytorch/pytorch/issues/91589
Orion,TORCH_1.13.1,torch.combinations,Bad allocation,https://github.com/pytorch/pytorch/issues/91588
Orion,TORCH_1.13.1,torch.lu_unpack,Segfault,https://github.com/pytorch/pytorch/issues/92776
Orion,TORCH_1.13.1,torch.nn.functional.adaptive_max_pool3d,Floating point exception,https://github.com/pytorch/pytorch/issues/92777
Orion,TORCH_1.13.1,torch.normal,OOM error,https://github.com/pytorch/pytorch/issues/92778
Orion,TORCH_1.13.1,torch.Tensor.copy_,Segfault,https://github.com/pytorch/pytorch/issues/92780
Orion,TORCH_1.13.1,torch.nn.AdaptiveMaxPool3d,Floating point exception,https://github.com/pytorch/pytorch/issues/92781
Orion,TORCH_1.13.1,torch.linalg.ldl_solve,Double free,https://github.com/pytorch/pytorch/issues/92782
Orion,TORCH_1.13.1,torch.combinations,OOM error,https://github.com/pytorch/pytorch/issues/92783
Orion,TORCH_1.13.1,torch.Tensor.coalesce,Crash,https://github.com/pytorch/pytorch/issues/92786
